image_id,image_name,study_label,income_quartile,model,raw_output,metric_value,manual_object_correct,caption_quality,error_type,review_notes
5d4bde4dcf0b3a0f3f335e21,5d4bde4dcf0b3a0f3f335e21.jpg,stove,Q3,blip_baseline,a pot of water is on the stove,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4bde4dcf0b3a0f3f335e21,5d4bde4dcf0b3a0f3f335e21.jpg,stove,Q3,blip_prompted,the main household object in this image is a pot on the stove,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4bdefccf0b3a0f3f336ec5,5d4bdefccf0b3a0f3f336ec5.jpg,roof,Q2,blip_baseline,a roof with a roof venter,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4bdefccf0b3a0f3f336ec5,5d4bdefccf0b3a0f3f336ec5.jpg,roof,Q2,blip_prompted,the main household object in this image is a roof,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4bdf17cf0b3a0f3f337195,5d4bdf17cf0b3a0f3f337195.JPG,switch,Q2,blip_baseline,a broken light switch on a wall,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4bdf17cf0b3a0f3f337195,5d4bdf17cf0b3a0f3f337195.JPG,switch,Q2,blip_prompted,the main household object in this image is a broken light switch,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4bdf69cf0b3a0f3f337997,5d4bdf69cf0b3a0f3f337997.jpg,trash container,Q2,blip_baseline,a white basket with a bunch of beer bottles,False,yes,accurate,accepted_synonym_missing,basket used as a container
5d4bdf69cf0b3a0f3f337997,5d4bdf69cf0b3a0f3f337997.jpg,trash container,Q2,blip_prompted,the main household object in this image is a basket of beer bottles,False,yes,accurate,accepted_synonym_missing,basket used as a container
5d4bdf81cf0b3a0f3f337c37,5d4bdf81cf0b3a0f3f337c37.jpg,footwear,Q4,blip_baseline,a pair of shoes on a rug,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4bdf81cf0b3a0f3f337c37,5d4bdf81cf0b3a0f3f337c37.jpg,footwear,Q4,blip_prompted,the main household object in this image is a pair of shoes,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4bdfa0cf0b3a0f3f337f53,5d4bdfa0cf0b3a0f3f337f53.jpg,light source,Q2,blip_baseline,a person is standing in a room with a light,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4bdfa0cf0b3a0f3f337f53,5d4bdfa0cf0b3a0f3f337f53.jpg,light source,Q2,blip_prompted,the main household object in this image is a lamp,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4bdfc3cf0b3a0f3f33824f,5d4bdfc3cf0b3a0f3f33824f.jpg,footwear,Q4,blip_baseline,a person wearing blue shoes and jeans,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4bdfc3cf0b3a0f3f33824f,5d4bdfc3cf0b3a0f3f33824f.jpg,footwear,Q4,blip_prompted,the main household object in this image is a pair of shoes,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be014cf0b3a0f3f338aa4,5d4be014cf0b3a0f3f338aa4.JPG,switch,Q4,blip_baseline,a white light switch and a white wall,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be014cf0b3a0f3f338aa4,5d4be014cf0b3a0f3f338aa4.JPG,switch,Q4,blip_prompted,the main household object in this image is a switch,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be02fcf0b3a0f3f338c7c,5d4be02fcf0b3a0f3f338c7c.JPG,roof,Q3,blip_baseline,a white wall with a light on it,False,no,inaccurate,wrong_object,caption does not identify the study object
5d4be02fcf0b3a0f3f338c7c,5d4be02fcf0b3a0f3f338c7c.JPG,roof,Q3,blip_prompted,the main household object in this image is a white wall,False,no,inaccurate,wrong_object,caption does not identify the study object
5d4be03ccf0b3a0f3f338dde,5d4be03ccf0b3a0f3f338dde.JPG,light source,Q3,blip_baseline,a chandel with three lights on a ceiling,False,yes,accurate,accepted_synonym_missing,chandelier misspelled as chandel
5d4be03ccf0b3a0f3f338dde,5d4be03ccf0b3a0f3f338dde.JPG,light source,Q3,blip_prompted,the main household object in this image is a chandel,False,yes,accurate,accepted_synonym_missing,chandelier misspelled as chandel
5d4be092cf0b3a0f3f3397a5,5d4be092cf0b3a0f3f3397a5.JPG,footwear,Q3,blip_baseline,a pair of white sneakers on a wooden floor,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be092cf0b3a0f3f3397a5,5d4be092cf0b3a0f3f3397a5.JPG,footwear,Q3,blip_prompted,the main household object in this image is a pair of adidas ' s shoes,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be09ccf0b3a0f3f3398bb,5d4be09ccf0b3a0f3f3398bb.JPG,footwear,Q3,blip_baseline,a pair of black flip flops on a towel,False,yes,accurate,accepted_synonym_missing,flip-flops
5d4be09ccf0b3a0f3f3398bb,5d4be09ccf0b3a0f3f3398bb.JPG,footwear,Q3,blip_prompted,the main household object in this image is a pair of flip flops,False,yes,accurate,accepted_synonym_missing,flip-flops
5d4be0b0cf0b3a0f3f339b0b,5d4be0b0cf0b3a0f3f339b0b.jpg,light source,Q3,blip_baseline,a room with a refrigerator and a sink,False,no,inaccurate,wrong_object,caption does not identify the study object
5d4be0b0cf0b3a0f3f339b0b,5d4be0b0cf0b3a0f3f339b0b.jpg,light source,Q3,blip_prompted,the main household object in this image is a refrigerator,False,no,inaccurate,wrong_object,caption does not identify the study object
5d4be0dccf0b3a0f3f33a033,5d4be0dccf0b3a0f3f33a033.JPG,footwear,Q4,blip_baseline,a man standing on a kitchen floor next to a pair of shoes,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be0dccf0b3a0f3f33a033,5d4be0dccf0b3a0f3f33a033.JPG,footwear,Q4,blip_prompted,the main household object in this image is a pair of shoes,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be0e9cf0b3a0f3f33a1a1,5d4be0e9cf0b3a0f3f33a1a1.jpg,footwear,Q4,blip_baseline,a group of shoes sitting on the floor,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be0e9cf0b3a0f3f33a1a1,5d4be0e9cf0b3a0f3f33a1a1.jpg,footwear,Q4,blip_prompted,the main household object in this image is the sandals,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be103cf0b3a0f3f33a4af,5d4be103cf0b3a0f3f33a4af.jpg,roof,Q3,blip_baseline,a ceiling with a clock on it,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be103cf0b3a0f3f33a4af,5d4be103cf0b3a0f3f33a4af.jpg,roof,Q3,blip_prompted,the main household object in this image is a dont,False,no,inaccurate,wrong_object,caption does not identify the study object
5d4be118cf0b3a0f3f33a717,5d4be118cf0b3a0f3f33a717.jpeg,light source,Q4,blip_baseline,a black light on a table,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be118cf0b3a0f3f33a717,5d4be118cf0b3a0f3f33a717.jpeg,light source,Q4,blip_prompted,the main household object in this image is a lantern,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be136cf0b3a0f3f33aa95,5d4be136cf0b3a0f3f33aa95.jpg,roof,Q4,blip_baseline,a ceiling fan and a ceiling fan in a room,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be136cf0b3a0f3f33aa95,5d4be136cf0b3a0f3f33aa95.jpg,roof,Q4,blip_prompted,the main household object in this image is a ceiling fan,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be176cf0b3a0f3f33b207,5d4be176cf0b3a0f3f33b207.jpg,stove,Q2,blip_baseline,a stove with a pot on top of it,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be176cf0b3a0f3f33b207,5d4be176cf0b3a0f3f33b207.jpg,stove,Q2,blip_prompted,the main household object in this image is a stove,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be1bbcf0b3a0f3f33b8c9,5d4be1bbcf0b3a0f3f33b8c9.jpg,stove,Q4,blip_baseline,a woman is standing in front of a stove,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be1bbcf0b3a0f3f33b8c9,5d4be1bbcf0b3a0f3f33b8c9.jpg,stove,Q4,blip_prompted,the main household object in this image is a stove,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be1cbcf0b3a0f3f33ba21,5d4be1cbcf0b3a0f3f33ba21.JPG,light source,Q1,blip_baseline,a small red can sitting on a ledge,False,no,inaccurate,wrong_object,caption does not identify the study object
5d4be1cbcf0b3a0f3f33ba21,5d4be1cbcf0b3a0f3f33ba21.JPG,light source,Q1,blip_prompted,the main household object in this image is a can of coke,False,no,inaccurate,wrong_object,caption does not identify the study object
5d4be2ffcf0b3a0f3f33d901,5d4be2ffcf0b3a0f3f33d901.jpg,switch,Q3,blip_baseline,a white light switch,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be2ffcf0b3a0f3f33d901,5d4be2ffcf0b3a0f3f33d901.jpg,switch,Q3,blip_prompted,the main household object in this image is a switch box,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be3ffcf0b3a0f3f33f500,5d4be3ffcf0b3a0f3f33f500.jpg,roof,Q2,blip_baseline,a room with a ceiling that has been stripped off,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be3ffcf0b3a0f3f33f500,5d4be3ffcf0b3a0f3f33f500.jpg,roof,Q2,blip_prompted,the main household object in this image is a ceiling,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be417cf0b3a0f3f33f7d4,5d4be417cf0b3a0f3f33f7d4.JPG,roof,Q4,blip_baseline,a ceiling with a light on it,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be417cf0b3a0f3f33f7d4,5d4be417cf0b3a0f3f33f7d4.JPG,roof,Q4,blip_prompted,the main household object in this image is a ceiling light,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be53dcf0b3a0f3f341904,5d4be53dcf0b3a0f3f341904.JPG,light source,Q4,blip_baseline,a kitchen with a white ceiling and a window,False,no,inaccurate,wrong_object,caption does not identify the study object
5d4be53dcf0b3a0f3f341904,5d4be53dcf0b3a0f3f341904.JPG,light source,Q4,blip_prompted,the main household object in this image is a ceiling,False,no,inaccurate,wrong_object,caption does not identify the study object
5d4be631cf0b3a0f3f343397,5d4be631cf0b3a0f3f343397.JPG,light source,Q2,blip_baseline,a light that is on a wall,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be631cf0b3a0f3f343397,5d4be631cf0b3a0f3f343397.JPG,light source,Q2,blip_prompted,the main household object in this image is a light bulb,True,yes,accurate,none,accepted-term match confirmed in caption context
5d4be664cf0b3a0f3f343977,5d4be664cf0b3a0f3f343977.JPG,light source,Q1,blip_baseline,a close up of a white plastic pipe,False,no,inaccurate,wrong_object,caption does not identify the study object
5d4be664cf0b3a0f3f343977,5d4be664cf0b3a0f3f343977.JPG,light source,Q1,blip_prompted,the main household object in this image is a white plastic pipe,False,no,inaccurate,wrong_object,caption does not identify the study object
5d4be672cf0b3a0f3f343b13,5d4be672cf0b3a0f3f343b13.jpg,stove,Q3,blip_baseline,a woman is standing in front of a microwave,False,no,inaccurate,wrong_object,caption does not identify the study object
5d4be672cf0b3a0f3f343b13,5d4be672cf0b3a0f3f343b13.jpg,stove,Q3,blip_prompted,the main household object in this image is a microwave,False,no,inaccurate,wrong_object,caption does not identify the study object
