image_id,image_name,study_label,income_quartile,model,task,raw_output,metric_value,manual_object_correct,caption_quality,error_type,review_notes
5d4bde4dcf0b3a0f3f335e21,5d4bde4dcf0b3a0f3f335e21.jpg,stove,Q3,qwen,captioning,A gas stove with a pot on it.,True,,,,
5d4bdefccf0b3a0f3f336ec5,5d4bdefccf0b3a0f3f336ec5.jpg,roof,Q2,qwen,captioning,The main household object is a roof with tiled shingles and a chimney.,True,,,,
5d4bdf17cf0b3a0f3f337195,5d4bdf17cf0b3a0f3f337195.JPG,switch,Q2,qwen,captioning,The main household object in the image is a white electrical switch with two toggle buttons.,True,,,,
5d4bdf69cf0b3a0f3f337997,5d4bdf69cf0b3a0f3f337997.jpg,trash container,Q2,qwen,captioning,The main household object is a red Coca-Cola crate with several empty bottles inside and a white plastic basket on top.,False,,,,
5d4bdf81cf0b3a0f3f337c37,5d4bdf81cf0b3a0f3f337c37.jpg,footwear,Q4,qwen,captioning,The main household object in the image is a pair of black sneakers with neon green laces placed on a colorful striped rug.,True,,,,
5d4bdfa0cf0b3a0f3f337f53,5d4bdfa0cf0b3a0f3f337f53.jpg,light source,Q2,qwen,captioning,The main household object is a fluorescent light fixture on a bed.,True,,,,
5d4bdfc3cf0b3a0f3f33824f,5d4bdfc3cf0b3a0f3f33824f.jpg,footwear,Q4,qwen,captioning,The main household object in the image is a pair of blue brogue shoes with lace-up laces and perforated detailing on the toe area.,True,,,,
5d4be014cf0b3a0f3f338aa4,5d4be014cf0b3a0f3f338aa4.JPG,switch,Q4,qwen,captioning,The main household object is a light switch and a water heater control panel on a wall.,True,,,,
5d4be02fcf0b3a0f3f338c7c,5d4be02fcf0b3a0f3f338c7c.JPG,roof,Q3,qwen,captioning,The main household object is a wall with a textured surface.,False,,,,
5d4be03ccf0b3a0f3f338dde,5d4be03ccf0b3a0f3f338dde.JPG,light source,Q3,qwen,captioning,The main household object in the image is a chandelier with four glass shades and a central metal rod.,False,,,,
5d4be092cf0b3a0f3f3397a5,5d4be092cf0b3a0f3f3397a5.JPG,footwear,Q3,qwen,captioning,The main household object in the image is a pair of white Adidas Superstar sneakers with gray stripes on a wooden floor.,True,,,,
5d4be09ccf0b3a0f3f3398bb,5d4be09ccf0b3a0f3f3398bb.JPG,footwear,Q3,qwen,captioning,The main household object in the image is a pair of black flip-flops placed on a green and white patterned rug.,False,,,,
5d4be0b0cf0b3a0f3f339b0b,5d4be0b0cf0b3a0f3f339b0b.jpg,light source,Q3,qwen,captioning,The main household object is a brown refrigerator with a door handle and a light switch on the side.,True,,,,
5d4be0dccf0b3a0f3f33a033,5d4be0dccf0b3a0f3f33a033.JPG,footwear,Q4,qwen,captioning,The main household object is a pair of brown dress shoes on a gray tiled floor.,True,,,,
5d4be0e9cf0b3a0f3f33a1a1,5d4be0e9cf0b3a0f3f33a1a1.jpg,footwear,Q4,qwen,captioning,The main household object in this image is a pair of blue flip-flops with black straps.,False,,,,
5d4be103cf0b3a0f3f33a4af,5d4be103cf0b3a0f3f33a4af.jpg,roof,Q3,qwen,captioning,The main household object in the image is a ceiling fan with three light bulbs and four blades.,True,,,,
5d4be118cf0b3a0f3f33a717,5d4be118cf0b3a0f3f33a717.jpeg,light source,Q4,qwen,captioning,The main household object in the image is a portable camping lantern with a bright light source.,True,,,,
5d4be136cf0b3a0f3f33aa95,5d4be136cf0b3a0f3f33aa95.jpg,roof,Q4,qwen,captioning,There is a ceiling fan on the ceiling.,True,,,,
5d4be176cf0b3a0f3f33b207,5d4be176cf0b3a0f3f33b207.jpg,stove,Q2,qwen,captioning,The main household object is an old-fashioned gas stove with two pots on it.,True,,,,
5d4be1bbcf0b3a0f3f33b8c9,5d4be1bbcf0b3a0f3f33b8c9.jpg,stove,Q4,qwen,captioning,The main household object is an Electrolux oven with a glass door and metal racks inside.,True,,,,
5d4be1cbcf0b3a0f3f33ba21,5d4be1cbcf0b3a0f3f33ba21.JPG,light source,Q1,qwen,captioning,"The main household object in the image is a red canister with a black nozzle, likely used for fuel or gas.",False,,,,
5d4be2ffcf0b3a0f3f33d901,5d4be2ffcf0b3a0f3f33d901.jpg,switch,Q3,qwen,captioning,The main household object is an electrical panel with multiple switches and outlets on an orange wall.,False,,,,
5d4be3ffcf0b3a0f3f33f500,5d4be3ffcf0b3a0f3f33f500.jpg,roof,Q2,qwen,captioning,The main household object in the image is a hanging strawberry-shaped decoration.,False,,,,
