review_id,image_id,condition,study_label,income_quartile,region,country_id,country_name,image_file,caption,object_correct_a,object_correct_b,object_correct_agree,non_informative_a,non_informative_b,non_informative_agree,hallucination_a,hallucination_b,hallucination_agree,any_disagreement,final_object_correct,final_non_informative,final_hallucination,adjudication_notes
db023bf3758e9ee9,5d4bf2d6cf0b3a0f3f358fea,baseline,footwear,Q2,as,kh,Cambodia,data/images/5d4bf2d6cf0b3a0f3f358fea.jpg,a pair of shoes laying on the ground,1,1,1,0,0,1,0,0,1,0,1,0,0,
f9c66f2e6320692b,5d4be664cf0b3a0f3f343977,baseline,light source,Q1,am,pe,Peru,data/images/5d4be664cf0b3a0f3f343977.JPG,a close up of a white plastic pipe,0,0,1,0,0,1,1,1,1,0,0,0,1,
7b23463d1831f1c6,5d4bf2b2cf0b3a0f3f358bb0,baseline,stove,Q2,as,cn,China,data/images/5d4bf2b2cf0b3a0f3f358bb0.jpg,a brick oven with a large pan on top,1,1,1,0,0,1,0,0,1,0,1,0,0,
e3327c7a170863b5,5d4bf0bfcf0b3a0f3f355712,prompted,roof,Q1,af,ci,Cote d'Ivoire,data/images/5d4bf0bfcf0b3a0f3f355712.jpg,the main household object in this image is a house,1,1,1,0,0,1,0,0,1,0,1,0,0,
db99ad5b4ca14a8a,5d4bdf05cf0b3a0f3f336fb3,baseline,light source,Q2,as,id,Indonesia,data/images/5d4bdf05cf0b3a0f3f336fb3.JPG,a light that is on a wooden floor,0,1,0,0,0,1,0,0,1,1,1,0,0,
1e33dd6357c6ed52,5d4bdfb1cf0b3a0f3f33809d,baseline,light source,Q3,eu,nl,Netherlands,data/images/5d4bdfb1cf0b3a0f3f33809d.jpg,a lamp on a table next to a bottle,1,1,1,0,0,1,0,0,1,0,1,0,0,
229e76e7fd4a75d2,5ec4f81af0611d7ddd740be2,prompted,switch,Q1,as,np,Nepal,data/images/5ec4f81af0611d7ddd740be2.jpg,the main household object in this image is a white electrical device,1,1,1,0,0,1,0,0,1,0,1,0,0,
a6f7333f49e0f310,5ec4fa30f0611d7ddd741dbe,prompted,stove,Q2,af,et,Ethiopia,data/images/5ec4fa30f0611d7ddd741dbe.JPG,the main household object in this image is a gas stove,1,1,1,0,0,1,0,1,0,1,1,0,0,
5786c2c07569de62,5d4bf24dcf0b3a0f3f3580a2,baseline,footwear,Q1,am,co,Colombia,data/images/5d4bf24dcf0b3a0f3f3580a2.jpg,a pair of dirty shoes on the ground,1,1,1,0,0,1,0,0,1,0,1,0,0,
fbdf39cc601ede75,5ec4fb68f0611d7ddd7427d4,prompted,switch,Q2,am,co,Colombia,data/images/5ec4fb68f0611d7ddd7427d4.jpg,the main household object in this image is a wall switch,1,1,1,0,0,1,0,0,1,0,1,0,0,
edb0cf92b69d85fd,5d4beacdcf0b3a0f3f34b1d8,prompted,roof,Q1,as,in,India,data/images/5d4beacdcf0b3a0f3f34b1d8.jpg,the main household object in this image is a dirty room,0,0,1,0,1,0,0,0,1,1,0,1,0,
4b8a6e03b85439d9,5d4be02ecf0b3a0f3f338c56,baseline,switch,Q3,eu,nl,Netherlands,data/images/5d4be02ecf0b3a0f3f338c56.JPG,two speakers on a brick wall,0,0,1,0,0,1,1,1,1,0,0,0,1,
06f8a871b939307d,5d4bf28fcf0b3a0f3f358788,prompted,switch,Q3,as,cn,China,data/images/5d4bf28fcf0b3a0f3f358788.jpg,the main household object in this image is a switch,1,1,1,0,0,1,0,0,1,0,1,0,0,
192c715a6bb90164,5d4be76ecf0b3a0f3f3456d4,baseline,trash container,Q2,as,id,Indonesia,data/images/5d4be76ecf0b3a0f3f3456d4.jpg,a bag of garbage sitting on the ground,0,1,0,0,0,1,0,0,1,1,1,0,0,
